🏀超清央卫,#genre#
CCTV风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
CCTV怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
CCTV风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
CCTV风云音乐,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub
CCTV世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub
CCTV电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
CCTV兵器科技,http://38.75.136.137:98/gslb/dsdqpub/bqkj.m3u8?auth=testpub
CCTB高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
CCTV央视文化精品,http://38.75.136.137:98/gslb/dsdqpub/ysjp.m3u8?auth=testpub
CCTV女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
广东珠江,http://38.75.136.137:98/gslb/dsdqbv/gdzj.m3u8?auth=test20251009
广东新闻,http://38.75.136.137:98/gslb/dsdqpub/gdxw.m3u8?auth=testpub
广东体育,http://38.75.136.137:98/gslb/dsdqpub/gdty.m3u8?auth=testpub
邵氏电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
邵氏武侠,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub
浙江卫视,http://38.75.136.137:98/gslb/dsdqpub/zjwshd.m3u8?auth=testpub
北京卫视,http://38.75.136.137:98/gslb/dsdqpub/bjwshd.m3u8?auth=testpub
东方卫视,http://38.75.136.137:98/gslb/dsdqbv/dfwshd.m3u8?auth=test20251009
江苏卫视,http://38.75.136.137:98/gslb/dsdqbv/jswshd.m3u8?auth=test20251009
山东卫视,http://38.75.136.137:98/gslb/dsdqpub/sdwshd.m3u8?auth=testpub
四川卫视,http://38.75.136.137:98/gslb/dsdqpub/scwshd.m3u8?auth=testpub
广东卫视,http://38.75.136.137:98/gslb/dsdqpub/gdwshd.m3u8?auth=testpub
深圳卫视,http://38.75.136.137:98/gslb/dsdqpub/szwshd.m3u8?auth=testpub
黑龙江卫视,http://38.75.136.137:98/gslb/dsdqpub/hljwshd.m3u8?auth=testpub
吉林卫视,http://38.75.136.137:98/gslb/dsdqpub/jlwshd.m3u8?auth=testpub
辽宁卫视,http://38.75.136.137:98/gslb/dsdqpub/lnwshd.m3u8?auth=testpub
天津卫视,http://38.75.136.137:98/gslb/dsdqpub/tjwshd.m3u8?auth=testpub
湖北卫视,http://38.75.136.137:98/gslb/dsdqpub/hbwshd.m3u8?auth=testpub
江西卫视,http://38.75.136.137:98/gslb/dsdqpub/jxwshd.m3u8?auth=testpub
陕西卫视,http://38.75.136.137:98/gslb/dsdqpub/sxwshd.m3u8?auth=testpub
贵州卫视,http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub
云南卫视,http://38.75.136.137:98/gslb/dsdqpub/ynwshd.m3u8?auth=testpub
贵州卫视,http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub
广西卫视,http://38.75.136.137:98/gslb/dsdqpub/gxwshd.m3u8?auth=testpub
东南卫视,http://38.75.136.137:98/gslb/dsdqpub/dnwshd.m3u8?auth=testpub
中国气象,http://38.75.136.137:98/gslb/dsdqpub/zgqx.m3u8?auth=testpub


🎯咪咕央卫,#genre#
CCTV-01咪咕, http://rihou.cc:555/tv/[mg]CCTV-01
CCTV-02咪咕, http://rihou.cc:555/tv/[mg]CCTV-02
CCTV-03咪咕, http://rihou.cc:555/tv/[mg]CCTV-03
CCTV-04咪咕, http://rihou.cc:555/tv/[mg]CCTV-04
CCTV-05咪咕, http://rihou.cc:555/tv/[mg]CCTV-05
CCTV-5+咪咕, http://rihou.cc:555/tv/[mg]CCTV-5p
CCTV-06咪咕, http://rihou.cc:555/tv/[mg]CCTV-06
CCTV-07咪咕, http://rihou.cc:555/tv/[mg]CCTV-07
CCTV-08咪咕, http://rihou.cc:555/tv/[mg]CCTV-08
CCTV-09咪咕, http://rihou.cc:555/tv/[mg]CCTV-09
CCTV-10咪咕, http://rihou.cc:555/tv/[mg]CCTV-10
CCTV-11咪咕, http://rihou.cc:555/tv/[mg]CCTV-11
CCTV-12咪咕, http://rihou.cc:555/tv/[mg]CCTV-12
CCTV-13咪咕, http://rihou.cc:555/tv/[mg]CCTV-13
CCTV-14咪咕, http://rihou.cc:555/tv/[mg]CCTV-14
CCTV-15咪咕, http://rihou.cc:555/tv/[mg]CCTV-15
CCTV-16咪咕, http://rihou.cc:555/tv/[mg]CCTV-16
CCTV-17咪咕, http://rihou.cc:555/tv/[mg]CCTV-17
cct4欧洲咪咕, http://rihou.cc:555/tv/[mg]cct4%E6%AC%A7%E6%B4%B2
cct4美洲咪咕, http://rihou.cc:555/tv/[mg]cct4%E7%BE%8E%E6%B4%B2
CGTN-西咪咕, http://rihou.cc:555/tv/[mg]CGTN-%E8%A5%BF
CGTN-阿咪咕, http://rihou.cc:555/tv/[mg]CGTN-%E9%98%BF
CGTN-法咪咕, http://rihou.cc:555/tv/[mg]CGTN-%E6%B3%95
北京卫视咪咕, http://rihou.cc:555/tv/[mg]%E5%8C%97%E4%BA%AC%E5%8D%AB%E8%A7%86
东方卫视咪咕, http://rihou.cc:555/tv/[mg]%E4%B8%9C%E6%96%B9%E5%8D%AB%E8%A7%86
浙江卫视咪咕, http://rihou.cc:555/tv/[mg]%E6%B5%99%E6%B1%9F%E5%8D%AB%E8%A7%86
江苏卫视咪咕, http://rihou.cc:555/tv/[mg]%E6%B1%9F%E8%8B%8F%E5%8D%AB%E8%A7%86
湖南卫视咪咕, http://rihou.cc:555/tv/[mg]%E6%B9%96%E5%8D%97%E5%8D%AB%E8%A7%86
广东卫视咪咕, http://rihou.cc:555/tv/[mg]%E5%B9%BF%E4%B8%9C%E5%8D%AB%E8%A7%86
深圳卫视咪咕, http://rihou.cc:555/tv/[mg]%E6%B7%B1%E5%9C%B3%E5%8D%AB%E8%A7%86
山东卫视咪咕, http://rihou.cc:555/tv/[mg]%E5%B1%B1%E4%B8%9C%E5%8D%AB%E8%A7%86
河南卫视咪咕, http://rihou.cc:555/tv/[mg]%E6%B2%B3%E5%8D%97%E5%8D%AB%E8%A7%86
江西卫视咪咕, http://rihou.cc:555/tv/[mg]%E6%B1%9F%E8%A5%BF%E5%8D%AB%E8%A7%86
湖北卫视咪咕, http://rihou.cc:555/tv/[mg]%E6%B9%96%E5%8C%97%E5%8D%AB%E8%A7%86
海南卫视咪咕, http://rihou.cc:555/tv/[mg]%E6%B5%B7%E5%8D%97%E5%8D%AB%E8%A7%86
陕西卫视咪咕, http://rihou.cc:555/tv/[mg]%E9%99%95%E8%A5%BF%E5%8D%AB%E8%A7%86
兵团卫视咪咕, http://rihou.cc:555/tv/[mg]%E5%85%B5%E5%9B%A2%E5%8D%AB%E8%A7%86
黑龙江视咪咕, http://rihou.cc:555/tv/[mg]%E9%BB%91%E9%BE%99%E6%B1%9F%E8%A7%86

📡央视备用1,#genre#
CCTV-1,http://129.211.14.102:27777/api.php?token=4255b7aa0936d50e5d5e5761ed8372f1&play=UYShGMEN3bMZke5V1T0MUeU1XRNVFV1FVTBRUeq9TSNFER3FDToJ2c5NWOZp1MyIVT1MEdz0TV%3DQ
CCTV-2,http://129.211.14.102:27777/api.php?token=4255b7aa0936d50e5d5e5761ed8372f1&play=UYShGMEN3bMZke5V1T0MUeU1XRNVFV1FVTBRUeq9TSNFER3FDToJ2c5NWOZp1MyIWT1kEdz0TV%3DQ
CCTV-3,http://129.211.14.102:27777/api.php?token=4255b7aa0936d50e5d5e5761ed8372f1&play=UYShGMEN3bMZke5V1T0MUeU1XRNVFV1FVTBRUeq9TSNFER3FDToJ2c5NWOZp1MyIXT1kEdz0TV%3DQ
CCTV-4,http://129.211.14.102:27777/api.php?token=4255b7aa0936d50e5d5e5761ed8372f1&play=UYShGMEN3bMZke5V1T0MUeU1XRNVFV1FVTBRUeq9TSNFER3FDToJ2c5NWOZp1MyIkT1MEdz0TV%3DQ
CCTV-5,http://129.211.14.102:27777/api.php?token=4255b7aa0936d50e5d5e5761ed8372f1&play=UYShGMEN3bMZke5V1T0MUeU1XRNVFV1FVTBRUeq9TSNFER3FDToJ2c5NWOZp1MyIlT1MEdz0TV%3DQ
CCTV-5+,http://129.211.14.102:27777/api.php?token=4255b7aa0936d50e5d5e5761ed8372f1&play=UYShGMEN3bMZke5V1T0MUeU1XRNVFV1FVTBRUeq9TSNFER3FDToJ2c5NWOZp1MyIlTCh2cYRXTiVEVx40T9EQP%3D%3D
CCTV-6,http://129.211.14.102:27777/api.php?token=4255b7aa0936d50e5d5e5761ed8372f1&play=UYShGMEN3bMZke5V1T0MUeU1XRNVFV1FVTBRUeq9TSNFER3FDToJ2c5NWOZp1MyImT1kEdz0TV%3DQ
CCTV-7,http://129.211.14.102:27777/api.php?token=4255b7aa0936d50e5d5e5761ed8372f1&play=UYShGMEN3bMZke5V1T0MUeU1XRNVFV1FVTBRUeq9TSNFER3FDToJ2c5NWOZp1MyInT1kEdz0TV%3DQ
CCTV-8,http://129.211.14.102:27777/api.php?token=4255b7aa0936d50e5d5e5761ed8372f1&play=UYShGMEN3bMZke5V1T0MUeU1XRNVFV1FVTBRUeq9TSNFER3FDToJ2c5NWOZp1MyI0T1MEdz0TV%3DQ
CCTV-9,http://129.211.14.102:27777/api.php?token=4255b7aa0936d50e5d5e5761ed8372f1&play=UYShGMEN3bMZke5V1T0MUeU1XRNVFV1FVTBRUeq9TSNFER3FDToJ2c5NWOZp1MyI1T1MEdz0TV%3DQ
CCTV-10,http://129.211.14.102:27777/api.php?token=4255b7aa0936d50e5d5e5761ed8372f1&play=UYShGMEN3bMZke5V1T0MUeU1XRNVFV1FVTBRUeq9TSNFER3FDToJ2c5NWOZp1MyIVTBRWdUJjTPFTQ90
CCTV-11,http://129.211.14.102:27777/api.php?token=4255b7aa0936d50e5d5e5761ed8372f1&play=UYShGMEN3bMZke5V1T0MUeU1XRNVFV1FVTBRUeq9TSNFER3FDToJ2c5NWOZp1MyIVTFRWdUJjTPFTQ90
CCTV-12,http://129.211.14.102:27777/api.php?token=4255b7aa0936d50e5d5e5761ed8372f1&play=UYShGMEN3bMZke5V1T0MUeU1XRNVFV1FVTBRUeq9TSNFER3FDToJ2c5NWOZp1MyIVTJRWdUJjTPFTQ90
CCTV-13,http://129.211.14.102:27777/api.php?token=4255b7aa0936d50e5d5e5761ed8372f1&play=UYShGMEN3bMZke5V1T0MUeU1XRNVFV1FVTBRUeq9TSNFER3FDToJ2c5NWOZp1MyIVTNRWdUJjTPFTQ90
CCTV-14,http://129.211.14.102:27777/api.php?token=4255b7aa0936d50e5d5e5761ed8372f1&play=UYShGMEN3bMZke5V1T0MUeU1XRNVFV1FVTBRUeq9TSNFER3FDToJ2c5NWOZp1MyIVTRRWdUJjTPFTQ90
CCTV-15,http://129.211.14.102:27777/api.php?token=4255b7aa0936d50e5d5e5761ed8372f1&play=UYShGMEN3bMZke5V1T0MUeU1XRNVFV1FVTBRUeq9TSNFER3FDToJ2c5NWOZp1MyIVTVRWdUJjTPFTQ90
CCTV-16,http://129.211.14.102:27777/api.php?token=4255b7aa0936d50e5d5e5761ed8372f1&play=UYShGMEN3bMZke5V1T0MUeU1XRNVFV1FVTBRUeq9TSNFER3FDToJ2c5NWOZp1MyIVTZRWdUJjTPFTQ90
CCTV-17,http://129.211.14.102:27777/api.php?token=4255b7aa0936d50e5d5e5761ed8372f1&play=UYShGMEN3bMZke5V1T0MUeU1XRNVFV1FVTBRUeq9TSNFER3FDToJ2c5NWOZp1MyIVTjRWdUJjTPFTQ90
CGTN,http://129.211.14.102:27777/api.php?token=4255b7aa0936d50e5d5e5761ed8372f1&play=UYShGMEN3bMZke5V1T0MUeU1XRNVFV1FVTBRUeq9TSNFER3FDToJ2c5NWOap1M1JGTw0meURzZ%3D0

📡央视备用2,#genre#
CCTV-1综合,http://hook.msen.site:8000/rtp/235.254.198.51:1480
CCTV-2财经,http://hook.msen.site:8000/rtp/235.254.198.52:1484
CCTV-3综艺,http://hook.msen.site:8000/rtp/235.254.198.53:1488
CCTV-4中文国际,http://hook.msen.site:8000/rtp/235.254.198.183:7980
CCTV-5体育,http://hook.msen.site:8000/rtp/235.254.198.54:1492
CCTV-5+体育赛事,http://hook.msen.site:8000/rtp/235.254.198.122:1764
CCTV-6电影,http://hook.msen.site:8000/rtp/235.254.198.55:1496
CCTV-7国防军事,http://hook.msen.site:8000/rtp/235.254.198.56:1500
CCTV-8电视剧,http://hook.msen.site:8000/rtp/235.254.198.57:1504
CCTV-9纪录,http://hook.msen.site:8000/rtp/235.254.198.58:1508
CCTV-10科教,http://hook.msen.site:8000/rtp/235.254.198.59:1512
CCTV-11戏曲,http://hook.msen.site:8000/rtp/235.254.198.7:1304
CCTV-12社会与法,http://hook.msen.site:8000/rtp/235.254.198.60:1516
CCTV-13新闻,http://hook.msen.site:8000/rtp/235.254.198.9:1312
CCTV-14少儿,http://hook.msen.site:8000/rtp/235.254.198.61:1520
CCTV-15音乐,http://hook.msen.site:8000/rtp/235.254.198.11:1320
CCTV-16奥林匹克,http://116.5.123.234:9088/rtp/233.18.204.215:5140
CCTV-17农业农村,http://hook.msen.site:8000/rtp/235.254.198.130:7980

💖华数影视,#genre#
华数星影,http://192.144.185.155:6000/rtp/225.1.8.254:4120$北京市电信
华数动作影院,http://192.144.185.155:6000/rtp/225.1.8.252:4120$北京市电信
华数喜剧影院,http://192.144.185.155:6000/rtp/225.1.8.251:4120$北京市电信
华数家庭影院,http://192.144.185.155:6000/rtp/225.1.8.253:4120$北京市电信
华数经典电影,http://192.144.185.155:6000/rtp/225.1.8.203:9024$北京市电信
华数热播剧场,http://192.144.185.155:6000/rtp/225.1.8.202:9020$北京市电信
华数热播剧场,http://113.102.83.19:4022/rtp/239.77.0.106:5146$广东电信
华数热播剧场,http://183.44.113.165:2222/rtp/239.77.0.106:5146$广东电信
华数军旅剧场,http://192.144.185.155:6000/rtp/225.1.8.228:4120$北京市电信
华数城市剧场,http://192.144.185.155:6000/rtp/225.1.8.227:4120$北京市电信
华数古装剧场,http://192.144.185.155:6000/rtp/225.1.8.229:4120$北京市电信
华数魅力时尚,http://192.144.185.155:6000/rtp/225.1.8.204:9012$北京市电信
华数少儿动画,http://192.144.185.155:6000/rtp/225.1.8.207:9000$北京市电信
华数少儿动画,http://113.102.83.19:4022/rtp/239.77.0.109:5146$广东电信
华数少儿动画,http://183.44.113.165:2222/rtp/239.77.0.109:5146$广东电信
华数动画,http://192.144.185.155:6000/rtp/225.1.8.240:4120$北京市电信
华数剧场1,http://yuwentao114.x3322.net:4022/udp/239.252.220.145:5140$【yuwen】
华数剧场2,http://yuwentao114.x3322.net:4022/udp/239.252.220.142:5140$【yuwen】
华数剧场3,http://yuwentao114.x3322.net:4022/udp/239.252.220.139:5140$【yuwen】
华数剧场4,http://yuwentao114.x3322.net:4022/udp/239.252.220.138:5140$【yuwen】
华数剧场5,http://yuwentao114.x3322.net:4022/udp/239.252.220.137:5140$【yuwen】
华数剧场6,http://yuwentao114.x3322.net:4022/udp/239.252.220.200:5140$【yuwen】
华数剧场7,http://yuwentao114.x3322.net:4022/udp/239.252.220.210:5140$【yuwen】
华数4K,http://yuwentao114.x3322.net:4022/udp/239.252.220.212:5140$【yuwen】
老电影,http://yuwentao114.x3322.net:4022/udp/239.252.220.204:5140$【yuwen】
CCTV6环球经典,https://www.9kds.com/d/1905.php?t=1&id=LIVE8J4LTCXPI7QJ5_261&kl=www.9kds.com
CCTV6流金岁月,https://www.9kds.com/d/1905.php?t=1&id=LIVEOYY31H24H48NE&kl=www.9kds.com

🍓港澳电台,#genre#
翡翠台,http://push.cdn1.hls123.de:8080/streams/ef5addc0849/index.m3u8
明珠台,http://push.cdn1.hls123.de:8080/streams/89a8p45a15e/index.m3u8
中天新闻,http://222.128.55.152:9080/live/fc.m3u8
TVB Plus,http://push.cdn1.hls123.de:8080/streams/gw8n98gubb4/index.m3u8
无线新闻,http://push.cdn1.hls123.de:8080/streams/n66wwnx3l7i/index.m3u8
TVB星河,http://push.cdn1.hls123.de:8080/streams/hbiwgswysds/index.m3u8
华丽翡翠台,http://push.cdn1.hls123.de:8080/streams/n6dnsi33w2e/index.m3u8
ViuTV,http://push.cdn1.hls123.de:8080/streams/iewbjlpp9v/index.m3u8
ViuTVsix,http://push.cdn1.hls123.de:8080/streams/5lthhpr4cx3/index.m3u8
Now新闻台,http://push.cdn1.hls123.de:8080/streams/zed7kdzyh1/index.m3u8
HOY TV,http://push.cdn1.hls123.de:8080/streams/dguce4v9b69/index.m3u8
HOY资讯台,http://push.cdn1.hls123.de:8080/streams/xeblk620c0e/index.m3u8
凤凰中文,http://push.cdn1.hls123.de:8080/streams/a4y2t99pzyi/index.m3u8
凤凰资讯,http://push.cdn1.hls123.de:8080/streams/0u0qd5ovqkg/index.m3u8
凤凰香港,http://push.cdn1.hls123.de:8080/streams/898y722sqjr/index.m3u8
澳视澳门,http://push.cdn1.hls123.de:8080/streams/2r8ba88ujh6/index.m3u8
澳视卫星,http://push.cdn1.hls123.de:8080/streams/gese9d57376/index.m3u8
澳门莲花,http://push.cdn1.hls123.de:8080/streams/8nsrl4s4evv/index.m3u8
重温经典,http://push.cdn1.hls123.de:8080/streams/g0jj471jied/index.m3u8
东森戏剧,https://cdn.19891230.eu.org/api/ET-Drama-Channel/index.m3u8
好莱坞电影台,https://cdn.19891230.eu.org/api/Hollywood-Movie/index.m3u8
纬来电影,https://cdn.19891230.eu.org/api/VL-Movies/index.m3u8
纬来戏剧,https://cdn.19891230.eu.org/api/VL-Drama/index.m3u8
纬来体育,https://cdn.19891230.eu.org/api/VL-Sports/index.m3u8
纬来日本,https://cdn.19891230.eu.org/api/VL-Japan/index.m3u8
年代新闻,https://cdn.19891230.eu.org/api/Era-News/index.m3u8
中天综合,https://cdn.19891230.eu.org/api/Cti-K/index.m3u8
中天娱乐,https://cdn.19891230.eu.org/api/Cti-E/index.m3u8
东森电影,https://cdn.19891230.eu.org/api/ET-Movie/index.m3u8
东森洋片,https://cdn.19891230.eu.org/api/ET-Foreign-Movie-Channel/index.m3u8
东森综合,https://cdn.19891230.eu.org/api/ET-Variety-Channel/index.m3u8
龙祥时代,https://cdn.19891230.eu.org/api/LSTIME-Movie/index.m3u8
中天新闻,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv009/index.m3u8
中天亚洲,https://cdn.19891230.eu.org/api/Cti-I/index.m3u8
